地名,センター,生活ごみ,缶・びん,ペットボトル,プラ容器包装,小型金属,古紙類
土佐屋台,東工場,火 金,土1 土3,土2 土4,水,木3,
富蔵,東工場,火 金,月1 月3,月2 月4,木,土3,
豊田（ただし、15の2から50、17の2 4、27の2から7、45の1から6、570の2 3、571の2を除く）,東工場,火 金,月1 月3,月2 月4,木,土3,
豊田15の2から50、17の2 4、27の2から7、45の1から6、570の2 3、571の2,東工場,水 土,火1 火3,火2 火4,金,木3,
庭代台1から4丁,東工場,月 木,火1 火3,火2 火4,金,土3,
野々井,東工場,水 土,火1 火3,火2 火4,金,木3,
畑（ただし、1799の3 36 40から89、1813、1818の1 4から22、1834の4 14、1838の5から7、1840番地を除く）,東工場,火 金,月1 月3,月2 月4,木,土3,
畑1799の3 36 40から89、1813、1818の1 4から22、1834の4 14、1838の5から7、1840番地,東工場,水 土,月1 月3,月2 月4,木,火3,
鉢ヶ峯寺,東工場,火 金,月1 月3,月2 月4,木,土3,
原山台1丁、2丁1から5街区、5丁2から22街区,東工場,火 金,水2 水4,水1 水3,土,木3,
原山台2丁6から7街区、3から4丁、5丁1街区,東工場,火 金,木2 木4,木1 木3,月,土3,
晴美台1から4丁,東工場,火 金,土2 土4,土1 土3,水,木3,
檜尾1から3064番地,東工場,月 木,土2 土4,土1 土3,水,火3,
檜尾3065から9006番地,東工場,月 木,火2 火4,火1 火3,金,土3,
深阪南,東工場,火 金,土1 土3,土2 土4,水,木3,
別所,東工場,月 木,土2 土4,土1 土3,水,火3,
槇塚台1丁から2丁（ただし､17街区94から102号及び17の3 24から26 43から45番地を除く）、3から4丁,東工場,水 土,月1 月3,月2 月4,木,火3,
槇塚台2丁17街区94から102号、及び17の3 24から26 43から45番地,東工場,火 金,月1 月3,月2 月4,木,土3,
御池台1丁から5丁（ただし12の52から66を除く）,東工場,月 木,金1 金3,金2 金4,火,土3,
御池台2丁12の52から66,東工場,火 金,月1 月3,月2 月4,木,土3,
美木多上（ただし､1995の1 9から13 24から28、2018の2 8 19から29、2021の1､2022の1 3 10､2023の2､2024の1 4 15､2026の1 3から5 9から14 18から28、2027番地を除く）,東工場,月 木,土2 土4,土1 土3,水,火3,
美木多上1995の1 9から13 24から28、2018の2 8 19から29、2021の1､2022の1 3 10､2023の2､2024の1 4 15､2026の1 3から5 9から14 18から28、2027番地,東工場,月 木,金1 金3,金2 金4,火,土3,
三木閉,東工場,水 土,火1 火3,火2 火4,金,木3,
三原台1丁、2丁1街区から13街区、3丁1街区から40街区、4丁1街区から48街区,東工場,月 木,水1 水3,水2 水4,土,火3,
三原台4丁5の8番地,東工場,火 金,土2 土4,土1 土3,水,木2,
宮山台1から4丁,東工場,火 金,月2 月4,月1 月3,木,土3,
桃山台1から2丁,東工場,火 金,水1 水3,水2 水4,土,木3,
桃山台3から4丁,東工場,水 土,火1 火3,火2 火4,金,木3,
若松台1から3丁,東工場,月 木,土1 土3,土2 土4,水,火3,
和田1から38､118から122､156から218､228から1041､1043から3458番地,東工場,火 金,月2 月4,月1 月3,木,土3,
和田39から117、123から155、219から227、1042番地,東工場,水 土,火1 火3,火2 火4,金,木3,
和田東,東工場,火 金,月2 月4,月1 月3,木,土3,
奥本町1から2丁,東工場,火 金,水2 水4,水1 水3,土,木4,
金岡町1から1132､1133の3､1229の2から5 10から13､1230から1236､1240から1302､1303の5､1313から 1316､1771から1818､2029から2030､2049、2052から2271､2273から2275の7 10から18、2276から 2896、3000から3026、3027の11から3032、3034から3036番地,東工場,火 金,月2 月4,月1 月3,木,火4,
金岡町1133の1 2 4 5から1229の1 6から9 14 15､1237から1239､1303の1 2､1304から1312､1317から 1770､1819から2028､2031から2048、2050から2051､2272、2275の8 9 19から26、3027の1から10､ 3033､3037から3050番地,東工場,火 金,土1 土3,土2 土4,水,木4,
北長尾町1から8丁,東工場,火 金,木1 木3,木2 木4,月,火4,
北花田町1から4丁,東工場,火 金,水2 水4,水1 水3,土,木4,
蔵前町,東工場,火 金,水2 水4,水1 水3,土,木4,
黒土町,東工場,火 金,木1 木3,木2 木4,月,火4,
東雲東町1から4丁,東工場,火 金,木1 木3,木2 木4,月,火4,
新金岡町1丁から5丁(ただし、1丁3から6街区、2丁を除く),東工場,月 木,金2 金4,金1 金3,火,土4,
新金岡町1丁3から6街区、2丁,東工場,火 金,月2 月4,月1 月3,木,火4,
新堀町1から2丁,東工場,火 金,水2 水4,水1 水3,土,木4,
船堂町,東工場,火 金,水2 水4,水1 水3,土,木4,
常磐町1から3丁(ただし、1丁1から24番地を除く),東工場,火 金,水2 水4,水1 水3,土,木4,
常磐町1丁1から24番地,東工場,火 金,木1 木3,木2 木4,月,火4,
長曾根町1から62､130の6から8 12から16 23 27 28 37､147の2､149から151､152の2､171の8 21､172の 2､173の2､175の2､177､183から187､204から206､217から231､234の2､235の2､236の2 20 21､239 の2 5､312､317から389の2､390から391､394から395､397､400から401､2372、3024から3025、3032の 7 8 14、3079から3084番地,東工場,火 金,土1 土3,土2 土4,水,木4,
長曾根町63から118､1179の4､1180､1579から1580､1587から1658､1680から1689､1693から1927､1928の4､1929から2211､3019の1番地,東工場,火 金,木1 木3,木2 木4,月,火4,
長曾根町119から129､130の1から5 9から11 24 33 38､152の1 4から11､153から171の1から7 9から20､172の 1 4から6､173の1 4から6､175の3 4､235の1 3 4､236の22から24､239の3 4 6から8､240から297､389 の3から7､399の8から12､402から1179の3､1179の6から15、1181から1578、1581から1586、1659から1679、 1690から1692､1928の1から3 5から7､2212から2371､2373から2872、3000から3018、3019の2から3023、 3026から3031､3032の1から6 9から13、3033から3078番地　　　　　,東工場,火 金,月2 月4,月1 月3,木,火4,
中長尾町1から4丁,東工場,火 金,木1 木3,木2 木4,月,火4,
中村町,東工場,月 木,金2 金4,金1 金3,火,土4,
中百舌鳥町1から6丁,東工場,火 金,土1 土3,土2 土4,水,木4,
野遠町,東工場,月 木,金2 金4,金1 金3,火,土4,
東浅香山町1から2丁、3丁73から79番地,東工場,火 金,木1 木3,木2 木4,月,火4,
東浅香山町3丁1から72､80から167番地、4丁,東工場,火 金,水2 水4,水1 水3,土,木4,
東上野芝町2丁,東工場,水 土,火1 火3,火2 火4,金,土4,
東三国ヶ丘町1から5丁,東工場,火 金,木1 木3,木2 木4,月,火4,
大豆塚町1から2丁,東工場,火 金,木1 木3,木2 木4,月,火4,
南長尾町1から5丁,東工場,火 金,木1 木3,木2 木4,月,火4,
